
    ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,
    ,2,0,0,52,72,1,1,1,1,82,0,0,0,2,0,
    ,2,0,0,0,1,0,0,0,0,0,1,115,53,2,0,
    ,2,0,1,0,1,0,1,1,1,0,1,1,1,2,0,
    ,2,3,1,0,1,0,0,0,1,0,0,0,0,2,0,
    ,2,1,1,0,1,1,1,0,1,1,1,1,0,2,0,
    ,2,0,0,0,0,117,1,116,0,0,0,0,81,2,0,
    ,2,0,1,1,1,0,1,1,1,1,1,1,0,2,0,
    ,2,0,1,4,56,0,1,0,0,0,0,0,0,2,0,
    ,2,71,51,1,1,1,1,0,1,0,1,1,1,2,0,
    ,2,0,1,0,0,0,0,0,1,0,0,0,0,2,0,
    ,2,0,1,1,0,1,1,1,1,1,1,1,0,2,0,
    ,2,0,0,0,0,54,0,0,55,0,1,0,0,2,0,
    ,2,0,1,0,0,1,112,0,1,113,1,114,1,2,0,
    ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
