
    ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
    ,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,2,
    ,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,
    ,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,
    ,2,0,0,0,1,71,0,0,0,0,0,0,72,1,0,0,0,2,
    ,2,0,0,0,84,1,1,1,1,54,1,1,1,73,0,0,0,2,
    ,2,113,0,0,0,1,1,65,64,0,101,1,1,0,0,0,0,2,
    ,2,93,0,0,0,1,111,1,1,55,1,63,1,0,0,0,0,2,
    ,2,114,0,0,0,56,0,57,1,1,1,62,1,0,0,0,51,2,
    ,2,0,0,0,0,1,66,1,1,1,59,0,58,0,0,0,0,2,
    ,2,115,0,0,0,1,4,1,53,1,1,112,1,0,0,0,92,2,
    ,2,0,0,0,0,1,1,102,0,60,61,1,1,0,0,0,0,2,
    ,2,0,0,0,83,1,1,1,52,1,1,1,1,82,0,0,0,2,
    ,2,0,0,0,1,74,0,0,0,0,0,0,81,1,0,0,0,2,
    ,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,
    ,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,
    ,2,1,0,0,0,0,0,105,94,103,0,104,0,0,0,0,1,2,
    ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
