
    ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
    ,2,4,52,0,0,0,0,0,0,112,1,0,0,91,2,
    ,2,1,1,0,1,0,1,0,1,1,1,0,1,0,2,
    ,2,0,0,55,1,113,1,0,0,0,0,0,1,0,2,
    ,2,0,1,0,1,1,1,0,1,1,1,1,1,0,2,
    ,2,0,1,91,1,0,0,0,1,0,0,0,0,0,2,
    ,2,0,1,1,1,0,1,1,1,0,1,0,1,58,2,
    ,2,0,0,0,0,0,0,0,0,0,1,0,1,51,2,
    ,2,0,1,1,1,1,1,0,1,1,1,0,1,1,2,
    ,2,0,1,115,53,0,1,0,0,3,1,0,0,0,2,
    ,2,0,1,1,1,56,1,1,1,0,1,0,1,54,2,
    ,2,0,1,0,1,0,1,0,0,0,0,0,1,0,2,
    ,2,0,1,0,0,0,1,0,1,1,1,1,1,0,2,
    ,2,0,0,0,1,0,0,0,1,114,57,0,0,0,2,
    ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
