
    ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
    ,2,4,62,0,95,0,1,0,94,0,1,0,0,0,1,0,91,0,2,
    ,2,1,1,0,0,0,1,0,0,0,1,0,72,0,1,0,0,0,2,
    ,2,0,0,0,0,0,1,1,57,1,1,0,0,0,1,1,59,1,2,
    ,2,0,0,0,96,0,1,0,0,0,1,0,0,0,1,0,0,0,2,
    ,2,81,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,
    ,2,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,1,2,
    ,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,58,55,2,
    ,2,93,0,0,1,56,1,0,0,0,1,0,0,0,1,0,1,1,2,
    ,2,0,0,0,1,53,1,0,0,82,1,0,0,0,1,0,0,0,2,
    ,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,2,
    ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,
    ,2,0,0,0,0,0,0,0,1,54,1,0,0,0,1,0,0,0,2,
    ,2,0,0,0,0,0,0,0,1,51,1,0,0,0,1,0,0,0,2,
    ,2,1,60,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2,
    ,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,
    ,2,92,0,0,0,0,0,1,52,1,1,0,0,0,0,0,0,0,2,
    ,2,0,0,0,0,0,0,1,61,71,1,0,0,0,0,0,0,3,2,
    ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
