
    ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,
    ,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,
    ,2,0,3,0,0,0,61,0,1,0,83,0,58,0,59,0,2,
    ,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,
    ,2,1,62,1,1,1,1,1,1,1,1,1,1,1,0,1,2,
    ,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,
    ,2,0,101,0,60,0,57,0,1,0,91,0,0,0,81,0,2,
    ,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,
    ,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,
    ,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,
    ,2,0,71,0,1,0,73,0,56,0,102,0,0,0,92,0,2,
    ,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,
    ,2,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,2,
    ,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,
    ,2,0,55,0,0,0,94,0,1,0,4,0,0,0,93,0,2,
    ,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,2,
    ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
