
    ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
    ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,
    ,1,0,1,1,1,1,1,1,1,1,56,1,1,1,71,1,
    ,1,0,1,0,0,0,0,0,0,0,0,53,104,1,0,1,
    ,1,0,1,0,1,1,1,1,1,1,1,1,1,1,82,1,
    ,1,0,1,0,0,0,0,0,0,0,105,1,0,1,0,1,
    ,1,103,1,0,1,0,1,0,1,1,0,1,0,1,81,1,
    ,1,72,1,1,1,0,1,3,1,1,0,1,0,1,1,1,
    ,1,0,1,59,1,0,1,1,4,1,0,54,0,1,107,1,
    ,1,0,1,102,1,0,1,1,52,1,0,1,0,1,51,1,
    ,1,0,1,0,1,0,0,0,0,0,0,1,0,1,60,1,
    ,1,0,1,0,1,1,1,1,1,1,1,1,0,1,101,1,
    ,1,0,1,0,58,106,55,0,0,0,0,0,0,1,57,1,
    ,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,
    ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
    ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
